Cited_App_nbr,in_degree,prio_year_cited,Shannon_Entropy
EP19830300306,1,1982,1.7917594692280547
EP19780100463,1,1977,2.0794415416798357
EP19780101447,2,1977,2.639057329615258
EP19800103031,4,1979,1.3862943611198906
EP19800103032,12,1979,1.6094379124341005
EP19830300255,2,1982,1.6094379124341005
EP19820300443,3,1981,2.3025850929940455
EP19830300822,1,1982,2.890371757896165
EP19830301071,1,1982,1.945910149055313
EP19810305861,2,1980,2.484906649788001
EP19820301104,1,1981,-0.0
EP19790302671,1,1978,-0.0
EP19830301651,3,1982,2.0794415416798357
EP19810302146,4,1980,1.0986122886681096
EP19810303760,3,1980,1.3862943611198906
EP19830301776,1,1982,2.3978952727983707
EP19800303250,1,1979,1.3862943611198906
EP19820301061,1,1981,2.3978952727983707
EP19820302308,1,1981,1.7917594692280547
EP19830302189,10,1982,2.484906649788001
EP19830302450,2,1982,1.6094379124341005
EP19830104668,3,1982,1.7917594692280547
EP19800105411,2,1979,0.6931471805599453
EP19830302059,9,1982,2.1972245773362196
EP19820301322,2,1981,-0.0
EP19780100690,2,1977,2.1972245773362196
EP19830303097,1,1982,2.3978952727983707
EP19810302429,6,1980,1.945910149055313
EP19830303267,1,1982,2.890371757896165
EP19780100395,1,1977,1.0986122886681096
EP19800300900,3,1979,1.6094379124341005
EP19820105989,4,1981,1.6094379124341005
EP19830303553,4,1982,2.1972245773362196
EP19830303983,4,1982,1.0986122886681096
EP19800301927,6,1979,1.7917594692280547
EP19810305206,3,1980,-0.0
EP19830303998,2,1982,3.5835189384561104
EP19780300456,1,1977,0.6931471805599453
EP19780300716,1,1977,0.6931471805599453
EP19820302395,3,1981,1.945910149055313
EP19810305871,1,1980,1.3862943611198906
EP19820302359,1,1981,1.0986122886681096
EP19810107367,1,1980,0.6931471805599453
EP19830304850,1,1982,2.0794415416798357
EP19830306060,4,1982,3.1780538303479453
EP19820400590,2,1981,1.6094379124341005
EP19830306665,1,1982,-0.0
EP19840307432,1,1983,-0.0
EP19840301997,1,1983,2.3025850929940455
EP19830111621,1,1982,-0.0
EP19840308027,1,1983,1.3862943611198906
EP19780300713,1,1977,1.0986122886681096
EP19830307717,2,1982,2.0794415416798357
EP19830307721,1,1982,1.7917594692280547
EP19820303070,1,1981,1.945910149055313
EP19840300003,1,1983,0.6931471805599453
EP19810303373,2,1980,1.3862943611198906
EP19840300336,4,1983,2.0794415416798357
EP19820303821,9,1981,2.1972245773362196
EP19840300339,2,1983,1.6094379124341005
EP19830307334,1,1982,1.3862943611198906
EP19840300338,2,1983,2.0794415416798357
EP19840300397,2,1983,2.3978952727983707
EP19790301731,1,1978,2.70805020110221
EP19820302892,1,1981,2.1972245773362196
EP19820200930,4,1981,1.3862943611198906
EP19840300565,3,1983,3.8918202981106265
EP19830300482,7,1982,2.0794415416798357
EP19810300276,3,1980,1.945910149055313
EP19840102963,2,1983,2.3025850929940455
EP19840301255,1,1983,1.6094379124341005
EP19840301583,1,1983,1.0986122886681096
EP19820303035,2,1981,1.6094379124341005
EP19840104248,2,1983,1.0986122886681096
EP19840104249,2,1983,1.3862943611198906
EP19820109568,1,1981,-0.0
EP19840300991,2,1983,2.564949357461537
EP19830301022,3,1982,3.2188758248682
EP19830301137,1,1982,2.3978952727983707
EP19830302078,1,1982,1.7917594692280547
EP19820305198,1,1981,1.0986122886681096
EP19830302129,1,1982,1.0986122886681096
EP19840104524,5,1983,1.7917594692280547
EP19830302824,9,1982,1.6094379124341005
EP19840105005,2,1983,2.0794415416798357
EP19840105158,3,1983,1.3862943611198906
EP19800303143,1,1979,-0.0
EP19840105070,1,1983,1.3862943611198906
EP19790300811,1,1978,1.3862943611198906
EP19820302977,1,1981,1.6094379124341005
EP19830302025,1,1982,1.6094379124341005
EP19840304545,1,1983,1.945910149055313
EP19810303055,1,1980,2.1972245773362196
EP19800302647,1,1979,1.0986122886681096
EP19850303788,1,1984,2.484906649788001
EP19800303457,1,1979,-0.0
EP19840305045,1,1983,2.1972245773362196
EP19820303154,2,1981,1.945910149055313
EP19820303666,1,1981,1.945910149055313
EP19820303667,1,1981,2.639057329615258
EP19840111684,1,1983,0.6931471805599453
EP19830301660,4,1982,-0.0
EP19820303508,2,1981,-0.0
EP19840110098,2,1983,1.0986122886681096
EP19840201466,1,1983,-0.0
EP19800201031,6,1979,-0.0
EP19840307660,2,1983,1.7917594692280547
EP19830302613,15,1982,2.890371757896165
EP19820304860,1,1981,0.6931471805599453
EP19840308171,1,1983,2.0794415416798357
EP19820306243,1,1981,0.6931471805599453
EP19810303247,1,1980,1.0986122886681096
EP19820201253,1,1981,0.6931471805599453
EP19840307553,2,1983,1.0986122886681096
EP19840307658,2,1983,1.7917594692280547
EP19840402661,1,1983,1.0986122886681096
EP19830401696,4,1982,1.945910149055313
EP19830303758,1,1982,1.0986122886681096
EP19800303992,1,1979,-0.0
EP19800303993,1,1979,-0.0
EP19850100520,2,1984,2.3025850929940455
EP19850100558,2,1984,-0.0
EP19840301320,5,1983,1.0986122886681096
EP19850300802,2,1984,1.945910149055313
EP19840100521,3,1983,1.7917594692280547
EP19850101566,2,1984,1.7917594692280547
EP19850301011,1,1984,1.3862943611198906
EP19840300134,1,1983,0.6931471805599453
EP19850100521,4,1984,2.639057329615258
EP19840104878,2,1983,-0.0
EP19820103147,1,1981,1.0986122886681096
EP19830305177,1,1982,-0.0
EP19860300922,1,1985,3.3322045101752034
EP19840115346,2,1983,2.0794415416798357
EP19850302706,1,1984,1.6094379124341005
EP19840301882,1,1983,2.484906649788001
EP19850302707,2,1984,1.6094379124341005
EP19840200534,2,1983,0.6931471805599453
EP19800304571,1,1979,-0.0
EP19840303517,1,1983,2.564949357461537
